"filename", "language", "JSON", "JavaScript", "XML", "Markdown", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\parts\TopbarR.jsx", "JavaScript JSX", 0, 0, 0, 0, 101, 0, 0, 0, 17, 118
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\parts\TopbarS.jsx", "JavaScript JSX", 0, 0, 0, 0, 223, 0, 0, 1, 24, 248
"c:\Users\SKL\Desktop\Integradora\int-line\src\components\switches\Switch.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 3, 9, 93
"c:\Users\SKL\Desktop\Integradora\int-line\src\context\TaskContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 152, 0, 0, 8, 35, 195
"c:\Users\SKL\Desktop\Integradora\int-line\src\index.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\SKL\Desktop\Integradora\int-line\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\SKL\Desktop\Integradora\int-line\src\pages\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 102, 0, 0, 2, 9, 113
"c:\Users\SKL\Desktop\Integradora\int-line\src\pages\CreateP.jsx", "JavaScript JSX", 0, 0, 0, 0, 127, 0, 0, 25, 18, 170
"c:\Users\SKL\Desktop\Integradora\int-line\src\pages\Diagnostic.jsx", "JavaScript JSX", 0, 0, 0, 0, 342, 0, 0, 43, 48, 433
"c:\Users\SKL\Desktop\Integradora\int-line\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 9, 107
"c:\Users\SKL\Desktop\Integradora\int-line\src\pages\ListH.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 1, 8, 72
"c:\Users\SKL\Desktop\Integradora\int-line\src\pages\ListP.jsx", "JavaScript JSX", 0, 0, 0, 0, 106, 0, 0, 1, 14, 121
"c:\Users\SKL\Desktop\Integradora\int-line\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 215, 0, 0, 3, 21, 239
"c:\Users\SKL\Desktop\Integradora\int-line\src\pages\ProtectedRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 2, 6, 27
"c:\Users\SKL\Desktop\Integradora\int-line\src\pages\Res_1.jsx", "JavaScript JSX", 0, 0, 0, 0, 122, 0, 0, 19, 27, 168
"c:\Users\SKL\Desktop\Integradora\int-line\src\pages\Res_2.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 12, 74
"c:\Users\SKL\Desktop\Integradora\int-line\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 10781, 50, 89, 5, 3273, 8, 16, 120, 492, 14834
